Aldicarb=Toxic
4-Aminodiphenyl=Toxic
Amiton=Toxic
Anabasine=Toxic
Arsenic pentoxide, Arsenic (V) acid & salts=Toxic
Arsenic trioxide, Arsenious(III) acid & salts=Toxic
Arsine (Arsenic hydride)=Toxic
Azinphos-ethyl=Toxic
Azinphos-methyl=Toxic
Benzidine=Toxic
Benzidine Salt=Toxic
Beryllium (powders compounds)=Toxic
Bis (2-chloroethyl) sulphide=Toxic
Bis (chloromethyl) ether=Toxic
Carbofuran=Toxic
Carbophenothion=Toxic
Chlorfenvinphos=Toxic
4-(Chloroformyl) morpholine=Toxic
Chloromethyl methyl ether=Toxic
Cobalt (metal, oxides, carbonates, sulphides, as powders)=Toxic
Crimidine=Toxic
Cyanthoate=Toxic
Cycloheximide=Toxic
Demeton=Toxic
Dialifos=Toxic
OO-Diethyl S-ethylsulphinyl-methyl phosphorothioate=Toxic
OO-Diethyl S-ethylthiomethyl phosphorothioate=Toxic
OO-Diethyl S-ethylthiomethyl phosphorothioate=Toxic
OO-Diethyl S-isopropylthiomethyl phosphorodithioate=Toxic
OO-Diethyl S-propylthiomethyl phosphorodithioate=Toxic
Dimefox=Toxic
Dimethylcarbonyl chloride=Toxic
Dimethylnitrosamine=Toxic
Dimethyl phosphoramidocyanidic acid=Toxic
Diphacinone=Toxic
Disulfoton=Toxic
Epn=Toxic
Ethion=Toxic
Fensulfothion=Toxic
Fluenetil=Toxic
Fluroacetic acid=Toxic
Fluroacetic acid-salts=Toxic
Fluroacetic acid-esters=Toxic
Fluroacetic acid-amides=Toxic
4-Flurobutyric acid=Toxic
4-Fluorobutyric acid-salts=Toxic
4-Fluorobutyric acid-esters=Toxic
4-Fluorobutyric acid-amides=Toxic
4-Fluorocrotonic acid=Toxic
4-Fluorocrotonic acid-salts=Toxic
4-Fluorocrotonic acid-esters=Toxic
4-Fluorocrotonic acid-amides=Toxic
4-Fluoro-2-hydrooxybutyric acid=Toxic
4-Fluoro-2-hydrooxybutyric acid, salts=Toxic
4-Fluoro-2-hydroxybutyric acid, esters=Toxic
4-Fluoro-2-hydroxybutyric acid, amides=Toxic
Glycolonitrile (Hydroxyacetonitrile)=Toxic
1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin=Toxic
Hexamethylphosphoramide=Toxic
Hydrogen selenide=Toxic
Isobenzan=Toxic
Isodrin=Toxic
Juglone (5-Hydroxynaphthalene 1,4-dione)=Toxic
4,-Methylenebis (2-chloroaniline)=Toxic
Methyl isocyanate=Toxic
Mevinphos=Toxic
2-Naphthylamine=Toxic
Nickel (metal, oxides, carbonates, sulphide, as powders)=Toxic
Nickel tetracarbonyl=Toxic
Oxydisulfoton=Toxic
Oxygen difluoride=Toxic
Paraoxon (Diethyl 4-nitrophenyl phosphate)=Toxic
Parathion=Toxic
Parathion-methyl=Toxic
Pentaboran=Toxic
Phorate=Toxic
Phosacetim=Toxic
Phosgene (Carbonyl chloride)=Toxic
Phosphamidon=Toxic
Phosphine (Hydrogen phosphide)=Toxic
Promurit (1- (3, 4-Dichlorophenyl) -3-trinaienethiocarboxamide)=Toxic
1,3-Propanesultone=Toxic
l-Propen-2-chloro-1,3 -dio 1 diacetate=Toxic
Pyrazoxon=Toxic
Selenium hexafluoride=Toxic
